Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-10.3	0.5156	0.5156	-12.7	-0.5099
-10.1	0.5156	0.5156	-12.4	-0.5066
-9.9	0.5156	0.5156	-12.2	-0.4991
-9.7	0.5156	0.5156	-12.0	-0.4875
-9.5	0.5156	0.5156	-11.8	-0.4718
-9.3	0.5156	0.5156	-11.5	-0.4525
-9.2	0.5156	0.5156	-11.3	-0.4297
-9.0	0.5156	0.5156	-11.1	-0.4037
-8.8	0.5156	0.5156	-10.8	-0.3748
-8.6	0.5156	0.5156	-10.6	-0.3434
-8.4	0.5156	0.5156	-10.4	-0.3098
-8.2	0.5156	0.5156	-10.1	-0.2743
-8.0	0.5156	0.5156	-9.9	-0.2372
-7.8	0.5156	0.5156	-9.7	-0.1989
-7.6	0.5157	0.5157	-9.4	-0.1596
-7.5	0.5157	0.5157	-9.2	-0.1194
-7.3	0.5157	0.5157	-9.0	-0.0787
-7.1	0.5157	0.5157	-8.7	-0.0377
-6.9	0.5157	0.5157	-8.5	0.0035
-6.7	0.5157	0.5157	-8.3	0.0447
-6.5	0.5157	0.5157	-8.0	0.0858
-6.3	0.5157	0.5157	-7.8	0.1265
-6.1	0.5157	0.5157	-7.6	0.1666
-5.9	0.5157	0.5157	-7.3	0.2059
-5.8	0.5157	0.5157	-7.1	0.2442
-5.6	0.5157	0.5157	-6.9	0.2813
-5.4	0.5157	0.5157	-6.6	0.3167
-5.2	0.5156	0.5156	-6.4	0.3503
-5.0	0.5156	0.5156	-6.2	0.3816
-4.8	0.5156	0.5156	-5.9	0.4104
-4.6	0.5156	0.5156	-5.7	0.4363
-4.4	0.5156	0.5156	-5.5	0.4590
-4.2	0.5156	0.5156	-5.2	0.4782
-4.1	0.5156	0.5156	-5.0	0.4936
-3.9	0.5156	0.5156	-4.8	0.5051
-3.7	0.5157	0.5157	-4.5	0.5124
-3.5	0.5157	0.5157	-4.3	0.5155
-3.3	0.5157	0.5157	-4.1	0.5144
-3.1	0.5157	0.5157	-3.8	0.5089
-2.9	0.5157	0.5157	-3.6	0.4993
-2.7	0.5157	0.5157	-3.4	0.4856
-2.5	0.5157	0.5157	-3.1	0.4680
