X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
6	0	-1755	-4.32273e-16	9.76502e-07	-6.68813e-15
-6	4	-1755	1.3311e-09	9.75141e-07	5.58838e-08
0	4	-1755	-8.53269e-15	9.76139e-07	5.59569e-08
6	4	-1755	-1.3311e-09	9.75141e-07	5.58838e-08
-6	-4	-1752	-1.40647e-09	1.01804e-06	-5.86636e-08
0	-4	-1752	-2.22714e-15	1.01909e-06	-5.87414e-08
6	-4	-1752	1.40647e-09	1.01804e-06	-5.86636e-08
-6	0	-1752	3.47698e-16	1.01947e-06	-6.50271e-16
0	0	-1752	4.18176e-15	1.02053e-06	2.00126e-15
6	0	-1752	-1.47536e-15	1.01947e-06	-1.91301e-15
-6	4	-1752	1.40646e-09	1.01804e-06	5.86636e-08
0	4	-1752	4.20996e-15	1.01909e-06	5.87414e-08
6	4	-1752	-1.40647e-09	1.01804e-06	5.86636e-08
-6	-4	-1749	-1.48668e-09	1.06307e-06	-6.16019e-08
0	-4	-1749	-8.21319e-15	1.06418e-06	-6.16848e-08
6	-4	-1749	1.48668e-09	1.06307e-06	-6.16019e-08
-6	0	-1749	-4.76439e-15	1.06459e-06	-2.50639e-15
0	0	-1749	-7.01033e-15	1.06571e-06	1.18087e-15
6	0	-1749	3.94685e-15	1.06459e-06	-2.74383e-15
-6	4	-1749	1.48668e-09	1.06307e-06	6.16019e-08
0	4	-1749	-5.51618e-15	1.06418e-06	6.16848e-08
6	4	-1749	-1.48668e-09	1.06307e-06	6.1602e-08
-6	-4	-1746	-1.57208e-09	1.11037e-06	-6.4709e-08
0	-4	-1746	-1.24983e-15	1.11155e-06	-6.47972e-08
6	-4	-1746	1.57208e-09	1.11037e-06	-6.4709e-08
-6	0	-1746	-7.51778e-15	1.11198e-06	-2.65058e-15
0	0	-1746	-2.47148e-15	1.11316e-06	-2.27408e-15
6	0	-1746	1.24045e-15	1.11198e-06	1.46911e-15
-6	4	-1746	1.57208e-09	1.11037e-06	6.4709e-08
0	4	-1746	4.03141e-15	1.11155e-06	6.47972e-08
6	4	-1746	-1.57208e-09	1.11037e-06	6.4709e-08
-6	-4	-1743	-1.66306e-09	1.16006e-06	-6.79959e-08
0	-4	-1743	1.49416e-15	1.1613e-06	-6.80899e-08
6	-4	-1743	1.66306e-09	1.16006e-06	-6.79959e-08
-6	0	-1743	-3.61794e-15	1.16176e-06	-8.08395e-16
0	0	-1743	-3.7213e-15	1.16301e-06	1.48351e-15
6	0	-1743	5.82633e-16	1.16176e-06	-4.2757e-15
-6	4	-1743	1.66306e-09	1.16006e-06	6.79959e-08
0	4	-1743	-1.42838e-15	1.1613e-06	6.80899e-08
6	4	-1743	-1.66306e-09	1.16006e-06	6.79959e-08
-6	-4	-1740	-1.76002e-09	1.21228e-06	-7.14744e-08
0	-4	-1740	2.66882e-15	1.2136e-06	-7.15746e-08
6	-4	-1740	1.76002e-09	1.21228e-06	-7.14744e-08
-6	0	-1740	-3.89046e-15	1.21408e-06	-2.38136e-16
0	0	-1740	-3.71191e-15	1.2154e-06	1.14488e-15
6	0	-1740	5.16848e-15	1.21408e-06	-7.50158e-17
-6	4	-1740	1.76003e-09	1.21228e-06	7.14744e-08
0	4	-1740	-5.92018e-16	1.2136e-06	7.15746e-08
6	4	-1740	-1.76003e-09	1.21228e-06	7.14744e-08
-6	-4	-1737	-1.86342e-09	1.26718e-06	-7.51573e-08
0	-4	-1737	9.77307e-16	1.26858e-06	-7.52641e-08
6	-4	-1737	1.86342e-09	1.26718e-06	-7.51573e-08
-6	0	-1737	-1.81366e-15	1.26909e-06	-3.91402e-15
0	0	-1737	2.20836e-15	1.27049e-06	-5.15905e-15
6	0	-1737	-4.16298e-15	1.26909e-06	-2.63495e-15
-6	4	-1737	1.86341e-09	1.26718e-06	7.51573e-08
0	4	-1737	-6.99153e-15	1.26858e-06	7.52641e-08
6	4	-1737	-1.86341e-09	1.26718e-06	7.51573e-08
-6	-4	-1734	-1.97371e-09	1.32492e-06	-7.90581e-08
0	-4	-1734	1.41899e-15	1.3264e-06	-7.91721e-08
6	-4	-1734	1.97371e-09	1.32492e-06	-7.90581e-08
-6	0	-1734	1.09948e-15	1.32695e-06	-6.59923e-16
0	0	-1734	-4.71741e-15	1.32843e-06	3.77404e-17
6	0	-1734	-3.53336e-15	1.32695e-06	-2.0443e-15
-6	4	-1734	1.97372e-09	1.32492e-06	7.90581e-08
0	4	-1734	-2.19894e-15	1.3264e-06	7.91721e-08
6	4	-1734	-1.97371e-09	1.32492e-06	7.90581e-08
-6	-4	-1731	-2.09144e-09	1.38567e-06	-8.31916e-08
0	-4	-1731	8.36346e-16	1.38724e-06	-8.33133e-08
6	-4	-1731	2.09143e-09	1.38567e-06	-8.31916e-08
-6	0	-1731	1.80427e-15	1.38781e-06	-2.63308e-15
0	0	-1731	2.91309e-16	1.38938e-06	3.62655e-15
6	0	-1731	4.67983e-15	1.38781e-06	-4.37268e-16
