X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
6	-4	-1725	2.56306e-09	1.67532e-06	-1.00795e-07
-6	0	-1725	-7.63995e-15	1.67794e-06	-6.84931e-15
0	0	-1725	-2.14257e-15	1.67986e-06	-1.00872e-14
6	0	-1725	-3.99382e-15	1.67794e-06	-7.24864e-15
-6	4	-1725	2.56306e-09	1.67532e-06	1.00795e-07
0	4	-1725	-3.80588e-15	1.67724e-06	1.00946e-07
6	4	-1725	-2.56306e-09	1.67532e-06	1.00795e-07
-6	-4	-1722	-2.719e-09	1.7528e-06	-1.06154e-07
0	-4	-1722	-4.49186e-15	1.75484e-06	-1.06315e-07
6	-4	-1722	2.719e-09	1.7528e-06	-1.06154e-07
-6	0	-1722	6.86939e-15	1.75558e-06	-5.89785e-15
0	0	-1722	-1.08068e-15	1.75762e-06	-6.29826e-15
6	0	-1722	-7.82789e-15	1.75558e-06	-7.42495e-15
-6	4	-1722	2.719e-09	1.7528e-06	1.06154e-07
0	4	-1722	-6.24918e-15	1.75484e-06	1.06315e-07
6	4	-1722	-2.719e-09	1.7528e-06	1.06154e-07
-6	-4	-1719	-2.88575e-09	1.83441e-06	-1.11841e-07
0	-4	-1719	-6.85059e-15	1.83658e-06	-1.12013e-07
6	-4	-1719	2.88576e-09	1.83441e-06	-1.11841e-07
-6	0	-1719	-1.50355e-15	1.83736e-06	-9.15423e-15
0	0	-1719	6.10817e-16	1.83953e-06	-7.56094e-15
6	0	-1719	1.82307e-15	1.83736e-06	-5.00235e-15
-6	4	-1719	2.88575e-09	1.83441e-06	1.11841e-07
0	4	-1719	-3.08229e-15	1.83658e-06	1.12013e-07
6	4	-1719	-2.88575e-09	1.83441e-06	1.11841e-07
-6	-4	-1716	-3.06417e-09	1.92041e-06	-1.17879e-07
0	-4	-1716	6.02363e-15	1.92271e-06	-1.18064e-07
6	-4	-1716	3.06416e-09	1.92041e-06	-1.17879e-07
-6	0	-1716	-2.34931e-15	1.92354e-06	-4.30968e-15
0	0	-1716	7.8279e-15	1.92585e-06	-1.07717e-14
6	0	-1716	2.97891e-15	1.92354e-06	-5.16516e-15
-6	4	-1716	3.06416e-09	1.92041e-06	1.17879e-07
0	4	-1716	-2.96013e-15	1.92271e-06	1.18064e-07
6	4	-1716	-3.06415e-09	1.92041e-06	1.17879e-07
-6	-4	-1713	-3.25513e-09	2.01107e-06	-1.24293e-07
0	-4	-1713	5.21547e-15	2.01351e-06	-1.24491e-07
6	-4	-1713	3.25513e-09	2.01107e-06	-1.24293e-07
-6	0	-1713	-7.29227e-15	2.0144e-06	-1.14717e-14
0	0	-1713	-7.32975e-16	2.01684e-06	-5.88381e-15
6	0	-1713	3.68372e-15	2.0144e-06	-6.47989e-15
-6	4	-1713	3.25513e-09	2.01107e-06	1.24293e-07
0	4	-1713	-2.95073e-15	2.01351e-06	1.24491e-07
6	4	-1713	-3.25512e-09	2.01107e-06	1.24293e-07
-6	-4	-1710	-3.45965e-09	2.10668e-06	-1.31111e-07
0	-4	-1710	1.84185e-15	2.10928e-06	-1.31323e-07
6	-4	-1710	3.45966e-09	2.10668e-06	-1.31111e-07
-6	0	-1710	-5.7887e-15	2.11022e-06	-1.01653e-14
0	0	-1710	2.54666e-15	2.11282e-06	-8.17754e-15
6	0	-1710	-1.31561e-15	2.11022e-06	-5.77678e-15
-6	4	-1710	3.45965e-09	2.10668e-06	1.31111e-07
0	4	-1710	7.39563e-15	2.10928e-06	1.31322e-07
6	4	-1710	-3.45965e-09	2.10668e-06	1.31111e-07
-6	-4	-1707	-3.67882e-09	2.20756e-06	-1.38359e-07
0	-4	-1707	-3.56156e-15	2.21031e-06	-1.38587e-07
6	-4	-1707	3.67882e-09	2.20756e-06	-1.3836e-07
-6	0	-1707	-5.73235e-16	2.21132e-06	-5.55635e-15
0	0	-1707	6.25856e-15	2.21408e-06	-8.17265e-15
6	0	-1707	3.60854e-15	2.21132e-06	-9.98242e-15
-6	4	-1707	3.67882e-09	2.20756e-06	1.38359e-07
0	4	-1707	-4.17237e-15	2.21031e-06	1.38587e-07
6	4	-1707	-3.67882e-09	2.20756e-06	1.38359e-07
-6	-4	-1704	-3.91381e-09	2.31403e-06	-1.46071e-07
0	-4	-1704	3.17626e-15	2.31696e-06	-1.46315e-07
6	-4	-1704	3.91382e-09	2.31403e-06	-1.46071e-07
-6	0	-1704	-7.7997e-16	2.31803e-06	-1.05635e-14
0	0	-1704	-1.79487e-15	2.32097e-06	-8.62437e-15
6	0	-1704	-6.95397e-16	2.31803e-06	-5.58862e-15
-6	4	-1704	3.91381e-09	2.31403e-06	1.46071e-07
0	4	-1704	-4.05021e-15	2.31696e-06	1.46315e-07
6	4	-1704	-3.91382e-09	2.31403e-06	1.46071e-07
-6	-4	-1701	-4.16591e-09	2.42645e-06	-1.54279e-07
0	-4	-1701	9.39678e-17	2.42958e-06	-1.5454e-07
6	-4	-1701	4.16591e-09	2.42645e-06	-1.54279e-07
-6	0	-1701	-8.92737e-16	2.43072e-06	-8.46569e-15
0	0	-1701	-4.82077e-15	2.43385e-06	-7.56979e-15
6	0	-1701	-3.42998e-15	2.43072e-06	-6.01043e-15
-6	4	-1701	4.16591e-09	2.42645e-06	1.54279e-07
0	4	-1701	-4.45429e-15	2.42958e-06	1.5454e-07
6	4	-1701	-4.16592e-09	2.42645e-06	1.54279e-07
-6	-4	-1698	-4.43653e-09	2.54522e-06	-1.6302e-07
0	-4	-1698	-4.30393e-15	2.54855e-06	-1.63301e-07
6	-4	-1698	4.43653e-09	2.54522e-06	-1.6302e-07
-6	0	-1698	4.31334e-15	2.54976e-06	-9.65496e-15
0	0	-1698	1.97342e-15	2.55309e-06	-4.54589e-15
6	0	-1698	4.22877e-16	2.54976e-06	-8.95662e-15
-6	4	-1698	4.43652e-09	2.54522e-06	1.6302e-07
0	4	-1698	-3.67432e-15	2.54855e-06	1.63301e-07
6	4	-1698	-4.43652e-09	2.54522e-06	1.6302e-07
-6	-4	-1695	-4.72718e-09	2.67074e-06	-1.72333e-07
0	-4	-1695	5.63882e-17	2.67428e-06	-1.72635e-07
6	-4	-1695	4.72718e-09	2.67074e-06	-1.72333e-07
-6	0	-1695	-6.74721e-15	2.67558e-06	-4.03749e-15
0	0	-1695	-6.5783e-17	2.67913e-06	-5.73582e-15
6	0	-1695	-3.11049e-15	2.67558e-06	-8.67855e-15
-6	4	-1695	4.72718e-09	2.67074e-06	1.72333e-07
0	4	-1695	-3.75891e-16	2.67428e-06	1.72635e-07
6	4	-1695	-4.72718e-09	2.67074e-06	1.72333e-07
-6	-4	-1692	-5.03954e-09	2.80346e-06	-1.82262e-07
0	-4	-1692	5.13089e-15	2.80724e-06	-1.82586e-07
6	-4	-1692	5.03954e-09	2.80346e-06	-1.82262e-07
-6	0	-1692	-1.88885e-15	2.80862e-06	-8.33814e-15
0	0	-1692	1.34381e-15	2.81241e-06	-8.57848e-15
6	0	-1692	-5.41282e-15	2.80862e-06	-4.293e-15
-6	4	-1692	5.03954e-09	2.80346e-06	1.82262e-07
0	4	-1692	2.97893e-15	2.80724e-06	1.82586e-07
6	4	-1692	-5.03954e-09	2.80346e-06	1.82262e-07
-6	-4	-1689	-5.37544e-09	2.94385e-06	-1.92852e-07
0	-4	-1689	-3.0447e-15	2.94788e-06	-1.932e-07
6	-4	-1689	5.37544e-09	2.94385e-06	-1.92852e-07
-6	0	-1689	1.31554e-16	2.94936e-06	-7.10645e-15
0	0	-1689	-5.49737e-15	2.9534e-06	-7.09375e-15
6	0	-1689	-2.80976e-15	2.94936e-06	-8.70148e-15
-6	4	-1689	5.37544e-09	2.94385e-06	1.92852e-07
0	4	-1689	1.62574e-15	2.94788e-06	1.932e-07
6	4	-1689	-5.37544e-09	2.94385e-06	1.92852e-07
