X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
0	-4	-1761	5.82624e-16	6.06889e-07	-3.64162e-08
6	-4	-1761	8.71089e-10	6.06236e-07	-3.63684e-08
-6	0	-1761	-1.41898e-15	6.07133e-07	-6.47219e-15
0	0	-1761	5.31883e-15	6.07787e-07	-6.0421e-15
6	0	-1761	2.18955e-15	6.07133e-07	-9.7703e-15
-6	4	-1761	8.71078e-10	6.06236e-07	3.63684e-08
0	4	-1761	4.49188e-15	6.06889e-07	3.64162e-08
6	4	-1761	-8.71085e-10	6.06236e-07	3.63684e-08
-6	-4	-1758	-9.20359e-10	6.34158e-07	-3.81983e-08
0	-4	-1758	8.73941e-16	6.34848e-07	-3.82492e-08
6	-4	-1758	9.20355e-10	6.34158e-07	-3.81983e-08
-6	0	-1758	-2.72518e-16	6.35106e-07	-5.19648e-15
0	0	-1758	-4.98054e-15	6.35797e-07	-8.53767e-15
6	0	-1758	3.55215e-15	6.35106e-07	-6.58962e-15
-6	4	-1758	9.20358e-10	6.34158e-07	3.81983e-08
0	4	-1758	2.7252e-15	6.34848e-07	3.82492e-08
6	4	-1758	-9.20359e-10	6.34158e-07	3.81983e-08
-6	-4	-1755	-9.72788e-10	6.63489e-07	-4.01326e-08
0	-4	-1755	1.59753e-15	6.64218e-07	-4.01867e-08
6	-4	-1755	9.7279e-10	6.63489e-07	-4.01326e-08
-6	0	-1755	5.04632e-15	6.64492e-07	-5.9494e-15
0	0	-1755	6.20217e-16	6.65222e-07	-3.54188e-15
6	0	-1755	-9.02138e-16	6.64492e-07	-6.24838e-15
-6	4	-1755	9.72788e-10	6.63489e-07	4.01326e-08
0	4	-1755	-6.58745e-15	6.64218e-07	4.01867e-08
6	4	-1755	-9.72787e-10	6.63489e-07	4.01326e-08
-6	-4	-1752	-1.02861e-09	6.9431e-07	-4.21781e-08
0	-4	-1752	-8.64537e-16	6.95081e-07	-4.22357e-08
6	-4	-1752	1.0286e-09	6.9431e-07	-4.21781e-08
